1367358:1	1367358:1				The food is authentic Italian - delicious!
1367358:2	1367358:2				Pizza is terrific, as is homemade pasta.
1367358:3	1367358:3				Ambience is delightful, service impeccable.
1380450:0	1380450:0				I'm still mad that i had to pay for lousy food.
1380450:1	1380450:1				The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.
1380450:2	1380450:2				Service was also horrible and the ambience is not that great.
1380450:3	1380450:3				DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.
1387314:0	1387314:0				I go and eat out at many different restaurants and this is one place you have go and try.
1387314:1	1387314:1				This is my first time writing a review for a restaurant because the food and service was excellent.
1387314:2	1387314:2				The filet mignon dish was superb!
1387314:3	1387314:3				I would defiantly come back here again as one of my top choices.
1387314:4	1387314:4				It's a small cute restaurant.
1390357:0	1390357:0				I absolutely love this place!!!
1390357:1	1390357:1				From the street it looks very hidden, and is actually an old warehouse.
1390357:2	1390357:2				I like the ambience, it's very dark and original.
1390357:3	1390357:3				I came here for my friend's birthday and keep coming back ever since.
1390357:4	1390357:4				The sushi is amazing!!! 
1390357:5	1390357:5				And amazingly cheap.
1390357:6	1390357:6				Big thumbs up!
1394712:0	1394712:0				Very affordable and excellent ambient!
1394712:1	1394712:1				We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.
1394712:2	1394712:2				We were very disappointed.
1394712:3	1394712:3				We won't go to this place again for a good meal.
1394712:4	1394712:4				However, I think this place is a good hang out spot.
1394712:5	1394712:5				Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.
1395421:0	1395421:0				My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
1395421:1	1395421:1				THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.
1395421:2	1395421:2				It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.
1395421:3	1395421:3				They tell me they are going to cover the garden in glass for the winter, so i'm looking forward to going there on a snowy night to enjoy it.
1395421:4	1395421:4				Check this place out!
1395421:5	1395421:5				HIGHLY RECOMMENDED!!!!!
1398844:0	1398844:0				First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.
1398844:1	1398844:1				Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.
1398844:2	1398844:2				The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.
1398844:3	1398844:3				Slightly above average wines start at $70+ with only one selection listed at $30+.
1398844:4	1398844:4				Service is not what one would expect from a joint in this price category.
1398844:5	1398844:5				For instance, plates were just dumped on the table, I was handed the wine list upside down, etc.... 
1398844:6	1398844:6				Somehow working the italian charm with constant mille grazie does not constitute proper service.
1398844:7	1398844:7				To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.
1404042:0	1404042:0				To celebrate a birthday, three of us went to Mare anticipating great food.
1404042:1	1404042:1				Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.
1404042:2	1404042:2				Fish was overdone.
1404042:3	1404042:3				Cute place, nice wait staff but would never go there again.
1404042:4	1404042:4				Someone else recommended the dessert - we also left that.
1404042:5	1404042:5				One of us actually liked the expresso - that's it.
1404042:6	1404042:6				Skip this restaurant, it's a big disappointment.
1410878:0	1410878:0				Myagi is one of my favorite restaurants in the City; the place the negative reviews describe sound like they were somewhere else.
1410878:1	1410878:1				I've never had bad service and the fish is fresh and delicious.
1410878:2	1410878:2				Their tuna tartar appetizer is to die for.
1413697:0	1413697:0				I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.
1413697:1	1413697:1				It is simply amazing.
1413697:2	1413697:2				The place is so cool and the service is prompt and curtious.
1413697:3	1413697:3				I highly recommend to anyone to give this place a try.
1413697:4	1413697:4				You will find yourself returning quite often.
1413697:5	1413697:5				P.S. Please don't tell anyone in my family i eat there.
1413697:6	1413697:6				LOL
1417496:0	1417496:0				A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.
1417496:1	1417496:1				No gimmicks here -- the food speaks for itself in its freshness and preparation.
1417496:2	1417496:2				The dining room is quietly elegant with no music to shout over -- how refreshing!
1417496:3	1417496:3				The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.
1417496:4	1417496:4				Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.
1417496:5	1417496:5				Beautiful experience.
1430994:0	1430994:0				The view is breathtaking the service is top notch... the ambiance is wonderfull.
1430994:1	1430994:1				The staff offers impeccable service.
1430994:2	1430994:2				I had Lobster Bisque it has 2 oz. of Maine Lobster in it.
1430994:3	1430994:3				My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.
1430994:4	1430994:4				I had Filet Mignon with garlic mash.
1430994:5	1430994:5				It was divine melts in your mouth.
1430994:6	1430994:6				My boyfriend had Prime Rib it was good .
1430994:7	1430994:7				We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough. 
1430994:8	1430994:8				We had Lava Cake... we ordered when our food came it takes at least a 1/2 to make it. 
1430994:9	1430994:9				It's cuz it's so good you need to taste it!!! 
1430994:10	1430994:10				All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!
1431154:0	1431154:0				My wife and I ate here earlier this week and have not stopped ranting and raving about the food.
1431154:1	1431154:1				If you like spicy food get the chicken vindaloo.
1431154:2	1431154:2				It's very spicy but not offensive.
1431154:3	1431154:3				We will definitely go back.
1432551:0	1432551:0				Go to Volare for 1st class service and terrific food.
1432551:1	1432551:1				The portions are large and the servers always surprise us with a different starter.
1432551:2	1432551:2				The wine list is excellent.
1439875:0	1439875:0				The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.
1439875:1	1439875:1				The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.
1439875:2	1439875:2				People dress in suits or evening gowns as well as shirts jeans.
1439875:3	1439875:3				The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.
1439875:4	1439875:4				Recommendations, of course, are required!
1439875:5	1439875:5				Please be aware that it's CASH or AMEX only!
1448587:0	1448587:0				With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.
1448587:1	1448587:1				The menu is very limited - i think we counted 4 or 5 entrees.
1448587:2	1448587:2				We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.
1448587:3	1448587:3				The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.
1448587:4	1448587:4				Problem is nothing at Prune is particularly memorable.
1448587:5	1448587:5				No plans to return anytime soon.
1451107:0	1451107:0				This place is so much fun.
1451107:1	1451107:1				Our family never expected such incredible entertainment in a restaurant.
